loan_amnt,int_rate,grade,emp_length,annual_inc,loan_status,purpose
9425.0,18.99,E,10+ years,74796.8,Fully Paid,debt_consolidation
10375.0,19.89,E,10+ years,100000.0,Fully Paid,medical
25000.0,14.85,C,10+ years,80000.0,Current,car
16000.0,7.91,A,2 years,58000.0,Fully Paid,credit_card
15000.0,18.99,E,3 years,100000.0,Charged Off,credit_card
20850.0,15.77,D,4 years,129500.0,Charged Off,debt_consolidation
8000.0,11.99,C,1 year,68000.0,Fully Paid,credit_card
35000.0,13.44,C,< 1 year,280000.0,Fully Paid,debt_consolidation
4200.0,9.17,B,10+ years,68000.0,Fully Paid,debt_consolidation
20000.0,11.48,B,10+ years,135000.0,Charged Off,small_business
5000.0,7.91,A,10+ years,79000.0,Fully Paid,debt_consolidation
20000.0,22.45,F,5 years,65000.0,Charged Off,debt_consolidation
34550.0,17.27,D,10+ years,72000.0,Fully Paid,debt_consolidation
15000.0,9.8,B,5 years,66000.0,Fully Paid,debt_consolidation
14000.0,11.48,B,6 years,99000.0,Fully Paid,debt_consolidation
7200.0,9.17,B,9 years,65000.0,Charged Off,debt_consolidation
28000.0,6.99,A,10+ years,100000.0,Fully Paid,credit_card
20000.0,13.99,C,10+ years,78000.0,Fully Paid,debt_consolidation
22350.0,13.44,C,10+ years,127000.0,Fully Paid,debt_consolidation
7600.0,18.99,E,3 years,59500.0,Charged Off,moving
30000.0,10.78,B,< 1 year,80000.0,Fully Paid,credit_card
2125.0,11.99,C,1 year,28800.0,Fully Paid,credit_card
11000.0,13.99,C,3 years,54000.0,Fully Paid,debt_consolidation
25500.0,18.99,E,10+ years,51000.0,Fully Paid,debt_consolidation
5000.0,15.77,D,10+ years,26000.0,Fully Paid,other
2400.0,13.99,C,10+ years,114000.0,Fully Paid,debt_consolidation
15000.0,5.32,A,3 years,103000.0,Fully Paid,other
7200.0,14.85,C,2 years,25958.0,Fully Paid,debt_consolidation
12000.0,12.88,C,6 years,92000.0,Fully Paid,credit_card
35000.0,11.99,C,10+ years,125000.0,Current,credit_card
28000.0,5.32,A,3 years,140000.0,Fully Paid,debt_consolidation
14000.0,7.49,A,10+ years,94000.0,Fully Paid,credit_card
5000.0,11.99,C,10+ years,33600.0,Fully Paid,debt_consolidation
11300.0,24.24,F,1 year,34320.0,Current,debt_consolidation
28000.0,12.88,C,5 years,96000.0,Fully Paid,debt_consolidation
13250.0,18.49,D,9 years,59000.0,Charged Off,debt_consolidation
16000.0,19.48,E,1 year,85000.0,Current,small_business
14825.0,21.48,E,3 years,50000.0,Charged Off,debt_consolidation
11400.0,5.32,A,10+ years,47000.0,Fully Paid,credit_card
20000.0,9.8,B,1 year,295000.0,Fully Paid,debt_consolidation
3000.0,6.49,A,< 1 year,24000.0,Fully Paid,credit_card
18000.0,11.99,C,10+ years,45000.0,Fully Paid,debt_consolidation
30000.0,15.77,D,2 years,180000.0,Fully Paid,other
8500.0,14.85,C,10+ years,80000.0,Fully Paid,debt_consolidation
10500.0,8.49,B,,52000.0,Fully Paid,credit_card
10000.0,8.49,B,10+ years,106000.0,Fully Paid,home_improvement
3000.0,11.48,B,< 1 year,62000.0,Charged Off,medical
12000.0,10.78,B,< 1 year,81900.0,Fully Paid,credit_card
19000.0,17.97,D,< 1 year,80000.0,Current,debt_consolidation
7500.0,13.44,C,10+ years,105000.0,Fully Paid,debt_consolidation
24000.0,6.49,A,2 years,157000.0,Fully Paid,credit_card
35000.0,14.85,C,4 years,125000.0,Fully Paid,debt_consolidation
10000.0,11.48,B,2 years,53000.0,Charged Off,credit_card
3500.0,9.17,B,3 years,70000.0,Fully Paid,credit_card
24000.0,19.89,E,5 years,130000.0,Charged Off,debt_consolidation
11000.0,9.17,B,< 1 year,37000.0,Fully Paid,debt_consolidation
5600.0,10.78,B,,75000.0,Fully Paid,other
27000.0,19.89,E,5 years,54000.0,Charged Off,debt_consolidation
15000.0,6.49,A,< 1 year,82500.0,Fully Paid,home_improvement
20000.0,5.32,A,< 1 year,125000.0,Fully Paid,other
30000.0,9.17,B,1 year,129500.0,Fully Paid,debt_consolidation
20000.0,12.88,C,4 years,47835.0,Current,debt_consolidation
11425.0,9.8,B,9 years,69000.0,Fully Paid,credit_card
14400.0,7.49,A,10+ years,88186.0,Fully Paid,debt_consolidation
2000.0,9.8,B,7 years,32000.0,Charged Off,other
11200.0,12.88,C,10+ years,42000.0,Fully Paid,debt_consolidation
12000.0,18.99,E,10+ years,100000.0,Fully Paid,debt_consolidation
12675.0,25.09,F,< 1 year,48000.0,Current,debt_consolidation
20000.0,7.49,A,,60000.0,Fully Paid,debt_consolidation
15600.0,8.49,B,1 year,38600.0,Fully Paid,credit_card
34000.0,9.17,B,< 1 year,85000.0,Fully Paid,debt_consolidation
9600.0,25.09,F,4 years,51000.0,Late (31-120 days),debt_consolidation
12000.0,14.85,C,10+ years,45000.0,Fully Paid,debt_consolidation
29000.0,12.88,C,10+ years,86075.0,Fully Paid,debt_consolidation
17475.0,11.48,B,7 years,38000.0,Current,debt_consolidation
10000.0,12.88,C,5 years,50000.0,Fully Paid,debt_consolidation
25000.0,9.17,B,9 years,90000.0,Fully Paid,debt_consolidation
11500.0,5.32,A,10+ years,151000.0,Fully Paid,credit_card
5000.0,9.8,B,< 1 year,37200.0,Fully Paid,debt_consolidation
9100.0,7.49,A,< 1 year,68000.0,Fully Paid,debt_consolidation
35000.0,7.49,A,2 years,296000.0,Fully Paid,credit_card
24000.0,6.49,A,10+ years,51000.0,Fully Paid,credit_card
5500.0,8.49,B,8 years,41000.0,Fully Paid,debt_consolidation
18000.0,5.32,A,4 years,100000.0,Fully Paid,debt_consolidation
6000.0,14.85,C,3 years,42000.0,Fully Paid,other
8000.0,7.91,A,1 year,50000.0,Fully Paid,credit_card
4650.0,13.99,C,4 years,45000.0,Charged Off,debt_consolidation
20000.0,16.59,D,,108000.0,Fully Paid,credit_card
2000.0,11.99,C,2 years,44000.0,Fully Paid,debt_consolidation
15000.0,6.49,A,10+ years,105000.0,Fully Paid,major_purchase
3000.0,9.8,B,2 years,26000.0,Fully Paid,credit_card
1000.0,11.48,B,7 years,30000.0,Fully Paid,debt_consolidation
24900.0,13.44,C,10+ years,54139.0,Fully Paid,debt_consolidation
15250.0,17.27,D,10+ years,114000.0,Charged Off,debt_consolidation
6025.0,14.85,C,10+ years,65000.0,Fully Paid,debt_consolidation
15000.0,13.44,C,9 years,98000.0,Charged Off,debt_consolidation
20000.0,9.17,B,4 years,86000.0,Fully Paid,credit_card
12000.0,10.78,B,9 years,85000.0,Fully Paid,credit_card
14000.0,10.78,B,10+ years,68000.0,Fully Paid,debt_consolidation
6000.0,9.8,B,10+ years,59245.0,Fully Paid,major_purchase
33600.0,20.5,E,4 years,98000.0,Late (31-120 days),debt_consolidation
20400.0,20.5,E,3 years,86000.0,Fully Paid,debt_consolidation
2000.0,13.99,C,9 years,46000.0,Fully Paid,moving
8000.0,8.49,B,3 years,75000.0,Fully Paid,debt_consolidation
10000.0,11.99,C,2 years,54000.0,Fully Paid,debt_consolidation
13650.0,21.48,E,9 years,37000.0,Charged Off,debt_consolidation
2500.0,13.44,C,10+ years,38000.0,Fully Paid,vacation
5600.0,9.17,B,4 years,41500.0,Fully Paid,debt_consolidation
10000.0,8.49,B,,150000.0,Fully Paid,debt_consolidation
10250.0,16.59,D,,57000.0,Fully Paid,debt_consolidation
8000.0,7.91,A,8 years,42000.0,Fully Paid,credit_card
12000.0,6.99,A,10+ years,130000.0,Fully Paid,debt_consolidation
1400.0,12.88,C,10+ years,93000.0,Fully Paid,debt_consolidation
17125.0,15.77,D,5 years,51000.0,Charged Off,debt_consolidation
1000.0,9.8,B,< 1 year,70000.0,Fully Paid,debt_consolidation
10000.0,13.99,C,10+ years,58800.0,Current,car
7000.0,9.8,B,3 years,32000.0,Fully Paid,medical
16000.0,11.48,B,8 years,185000.0,Fully Paid,debt_consolidation
10000.0,5.32,A,< 1 year,109000.0,Fully Paid,debt_consolidation
30000.0,9.8,B,10+ years,94000.0,Fully Paid,debt_consolidation
18000.0,9.17,B,10+ years,80000.0,Fully Paid,credit_card
5000.0,14.85,C,5 years,64000.0,Fully Paid,debt_consolidation
2400.0,14.85,C,4 years,51000.0,Charged Off,debt_consolidation
9000.0,17.97,D,9 years,50000.0,Fully Paid,debt_consolidation
21000.0,9.17,B,1 year,82000.0,Fully Paid,debt_consolidation
8000.0,12.88,C,3 years,46000.0,Fully Paid,debt_consolidation
9550.0,17.97,D,,64627.0,Charged Off,debt_consolidation
14400.0,9.17,B,10+ years,60000.0,Charged Off,debt_consolidation
15000.0,11.48,B,7 years,45000.0,Fully Paid,debt_consolidation
7000.0,5.32,A,8 years,75000.0,Fully Paid,debt_consolidation
28500.0,18.49,D,2 years,75000.0,Current,debt_consolidation
35000.0,13.99,C,3 years,139000.0,Charged Off,credit_card
30000.0,22.45,F,2 years,170000.0,In Grace Period,debt_consolidation
35000.0,18.99,E,1 year,90000.0,Charged Off,credit_card
20250.0,13.99,C,5 years,45000.0,Fully Paid,debt_consolidation
21000.0,5.32,A,,72000.0,Fully Paid,credit_card
18000.0,7.91,A,10+ years,72000.0,Fully Paid,major_purchase
7000.0,14.85,C,10+ years,120000.0,Fully Paid,debt_consolidation
10000.0,9.17,B,,24080.0,Fully Paid,credit_card
35000.0,7.91,A,10+ years,239000.0,Fully Paid,debt_consolidation
10000.0,6.49,A,3 years,77000.0,Fully Paid,debt_consolidation
10000.0,8.49,B,10+ years,70000.0,Fully Paid,debt_consolidation
12000.0,5.32,A,10+ years,84000.0,Fully Paid,credit_card
5600.0,9.8,B,5 years,38110.0,Fully Paid,credit_card
6000.0,13.44,C,8 years,29424.0,Fully Paid,debt_consolidation
6000.0,7.49,A,4 years,99000.0,Fully Paid,major_purchase
1800.0,14.85,C,8 years,38000.0,Fully Paid,debt_consolidation
10500.0,18.49,D,4 years,28000.0,Charged Off,credit_card
5450.0,6.0,C,1 year,85000.0,Fully Paid,debt_consolidation
14000.0,7.91,A,3 years,114000.0,Current,debt_consolidation
15000.0,11.48,B,3 years,50000.0,Charged Off,debt_consolidation
8000.0,9.8,B,6 years,55000.0,Charged Off,home_improvement
25000.0,13.99,C,,70000.0,Fully Paid,debt_consolidation
30000.0,12.88,C,1 year,127000.0,Fully Paid,debt_consolidation
25000.0,7.91,A,10+ years,124000.0,Charged Off,credit_card
10000.0,5.32,A,4 years,98000.0,Fully Paid,home_improvement
28000.0,5.32,A,10+ years,350000.0,Fully Paid,credit_card
5600.0,11.48,B,1 year,95000.0,Fully Paid,debt_consolidation
18000.0,7.91,A,10+ years,200000.0,Charged Off,debt_consolidation
17000.0,15.77,D,2 years,39500.0,Charged Off,debt_consolidation
15000.0,6.49,A,10+ years,100000.0,Fully Paid,debt_consolidation
14000.0,19.89,E,10+ years,52000.0,Charged Off,credit_card
10500.0,10.78,B,1 year,115000.0,Fully Paid,credit_card
20800.0,6.99,A,7 years,100000.0,Fully Paid,debt_consolidation
10000.0,5.32,A,4 years,82000.0,Fully Paid,major_purchase
10000.0,9.17,B,< 1 year,42000.0,Fully Paid,credit_card
6000.0,6.49,A,6 years,65000.0,Fully Paid,major_purchase
3600.0,13.99,C,10+ years,50000.0,Charged Off,debt_consolidation
15000.0,9.8,B,10+ years,62300.0,Fully Paid,debt_consolidation
24000.0,14.85,C,8 years,120000.0,Current,debt_consolidation
8000.0,13.44,C,10+ years,100000.0,Fully Paid,debt_consolidation
24000.0,14.85,C,7 years,125000.0,Current,debt_consolidation
21000.0,18.49,D,7 years,90000.0,Charged Off,debt_consolidation
20000.0,12.88,C,10+ years,75000.0,Current,credit_card
15500.0,14.85,C,4 years,50000.0,Fully Paid,debt_consolidation
25000.0,7.91,A,6 years,205000.0,Fully Paid,credit_card
4200.0,11.99,C,3 years,40000.0,Fully Paid,debt_consolidation
15000.0,19.89,E,4 years,180000.0,Current,debt_consolidation
10525.0,19.48,E,2 years,50000.0,Current,debt_consolidation
25000.0,7.49,A,10+ years,61900.0,Fully Paid,debt_consolidation
1975.0,13.99,C,3 years,19084.0,Fully Paid,other
8875.0,15.77,D,2 years,50000.0,Fully Paid,debt_consolidation
25625.0,25.09,F,2 years,91600.0,Fully Paid,debt_consolidation
15000.0,9.17,B,4 years,95000.0,Charged Off,credit_card
12000.0,9.8,B,< 1 year,65000.0,Fully Paid,debt_consolidation
16100.0,17.97,D,4 years,36000.0,Current,debt_consolidation
19300.0,10.78,B,1 year,50000.0,Charged Off,debt_consolidation
2800.0,10.78,B,10+ years,150000.0,Fully Paid,debt_consolidation
18000.0,12.88,C,10+ years,100000.0,Fully Paid,debt_consolidation
9000.0,9.17,B,7 years,38000.0,Fully Paid,debt_consolidation
35000.0,12.88,C,10+ years,135000.0,Current,debt_consolidation
21600.0,7.49,A,3 years,150000.0,Fully Paid,credit_card
20525.0,18.99,E,5 years,90000.0,Charged Off,debt_consolidation
5000.0,12.88,C,8 years,85000.0,Fully Paid,car
5600.0,6.49,A,8 years,81000.0,Fully Paid,credit_card
35000.0,9.8,B,10+ years,105000.0,Charged Off,debt_consolidation
15000.0,15.77,D,8 years,73000.0,Fully Paid,debt_consolidation
10000.0,13.99,C,2 years,49000.0,Fully Paid,debt_consolidation
8000.0,7.91,A,5 years,65000.0,Fully Paid,debt_consolidation
3500.0,10.78,B,10+ years,130000.0,Fully Paid,other
9800.0,9.8,B,10+ years,108000.0,Fully Paid,debt_consolidation
10000.0,6.49,A,9 years,76000.0,Fully Paid,credit_card
32300.0,22.45,F,7 years,72000.0,Current,debt_consolidation
6000.0,17.27,D,1 year,27500.0,Charged Off,debt_consolidation
10000.0,9.17,B,10+ years,80000.0,Charged Off,debt_consolidation
16075.0,21.48,E,2 years,36111.0,Fully Paid,debt_consolidation
8000.0,6.99,A,6 years,32000.0,Fully Paid,credit_card
20000.0,22.45,F,2 years,75000.0,Current,debt_consolidation
26400.0,11.99,C,3 years,60000.0,Fully Paid,major_purchase
15000.0,11.99,C,4 years,45000.0,Charged Off,debt_consolidation
25000.0,14.85,C,1 year,91500.0,Charged Off,debt_consolidation
12000.0,17.97,D,10+ years,78000.0,Current,credit_card
20000.0,7.49,A,10+ years,107600.0,Fully Paid,credit_card
15000.0,11.99,C,10+ years,68000.0,Charged Off,debt_consolidation
21900.0,14.85,C,8 years,100000.0,Fully Paid,debt_consolidation
12500.0,7.91,A,10+ years,76000.0,Current,credit_card
7000.0,12.88,C,1 year,65805.0,Fully Paid,credit_card
18000.0,13.99,C,4 years,85000.0,Fully Paid,debt_consolidation
24000.0,11.99,C,< 1 year,70000.0,Fully Paid,debt_consolidation
4000.0,10.78,B,2 years,69000.0,Fully Paid,debt_consolidation
9400.0,23.13,F,7 years,35760.0,Fully Paid,debt_consolidation
5050.0,11.99,C,10+ years,130000.0,Fully Paid,other
18750.0,24.24,F,3 years,70000.0,Charged Off,debt_consolidation
14400.0,13.99,C,1 year,91000.0,Fully Paid,debt_consolidation
9000.0,7.49,A,1 year,80000.0,Fully Paid,debt_consolidation
12000.0,8.49,B,1 year,45000.0,Fully Paid,credit_card
2000.0,12.88,C,10+ years,52000.0,Charged Off,credit_card
13000.0,11.99,C,5 years,91000.0,Current,car
18000.0,7.49,A,9 years,120000.0,Fully Paid,debt_consolidation
24000.0,9.8,B,< 1 year,60000.0,Fully Paid,debt_consolidation
18000.0,6.49,A,5 years,55000.0,Fully Paid,debt_consolidation
5600.0,11.99,C,5 years,30000.0,Fully Paid,debt_consolidation
16000.0,15.77,D,10+ years,90000.0,Charged Off,small_business
15000.0,8.49,B,3 years,43500.0,Fully Paid,other
21000.0,12.88,C,2 years,90000.0,Current,debt_consolidation
28000.0,12.88,C,8 years,450000.0,Fully Paid,credit_card
24000.0,13.44,C,4 years,89000.0,Fully Paid,credit_card
15000.0,11.48,B,,70000.0,Fully Paid,debt_consolidation
7200.0,9.8,B,10+ years,86000.0,Fully Paid,debt_consolidation
15000.0,11.48,B,10+ years,76995.0,Fully Paid,debt_consolidation
12000.0,13.44,C,4 years,53500.0,Charged Off,home_improvement
20000.0,7.91,A,5 years,85000.0,Fully Paid,debt_consolidation
1500.0,16.59,D,10+ years,32000.0,Fully Paid,home_improvement
10000.0,18.99,E,,50000.0,Fully Paid,home_improvement
9600.0,20.5,E,< 1 year,30000.0,Fully Paid,small_business
25000.0,7.91,A,10+ years,90000.0,Fully Paid,credit_card
16100.0,23.13,F,10+ years,35000.0,Current,debt_consolidation
15000.0,11.48,B,10+ years,113000.0,Fully Paid,credit_card
33300.0,13.99,C,10+ years,125000.0,Fully Paid,debt_consolidation
7200.0,9.8,B,1 year,68000.0,Fully Paid,home_improvement
15000.0,12.88,C,6 years,66248.0,Fully Paid,debt_consolidation
14000.0,9.8,B,8 years,50000.0,Fully Paid,debt_consolidation
17000.0,7.49,A,3 years,81000.0,Fully Paid,debt_consolidation
15000.0,6.49,A,3 years,35000.0,Fully Paid,debt_consolidation
18000.0,12.88,C,8 years,81000.0,Fully Paid,home_improvement
4400.0,7.49,A,4 years,49000.0,Fully Paid,credit_card
24000.0,10.78,B,10+ years,160000.0,Fully Paid,debt_consolidation
7000.0,11.99,C,5 years,21000.0,Fully Paid,debt_consolidation
15000.0,8.49,B,4 years,170000.0,Fully Paid,debt_consolidation
20000.0,17.27,D,2 years,64000.0,Fully Paid,debt_consolidation
15000.0,6.99,A,4 years,145000.0,Fully Paid,other
35000.0,14.85,C,3 years,158000.0,Fully Paid,credit_card
10000.0,8.49,B,3 years,55000.0,Fully Paid,debt_consolidation
12000.0,12.88,C,8 years,52000.0,Fully Paid,debt_consolidation
2925.0,17.27,D,2 years,50000.0,Fully Paid,debt_consolidation
3275.0,14.85,C,,22056.0,Charged Off,debt_consolidation
33600.0,22.45,F,7 years,103000.0,Fully Paid,debt_consolidation
17000.0,10.78,B,8 years,48000.0,Charged Off,debt_consolidation
8975.0,21.48,E,3 years,67000.0,Fully Paid,moving
20000.0,7.49,A,7 years,58000.0,Fully Paid,debt_consolidation
11000.0,7.91,A,3 years,40000.0,Fully Paid,debt_consolidation
15000.0,10.78,B,2 years,60000.0,Charged Off,debt_consolidation
20000.0,9.17,B,10+ years,80000.0,Fully Paid,credit_card
30000.0,18.49,D,10+ years,79000.0,Fully Paid,credit_card
26075.0,18.99,E,10+ years,72470.0,Fully Paid,debt_consolidation
3000.0,13.99,C,6 years,70000.0,Charged Off,debt_consolidation
30000.0,14.85,C,2 years,103000.0,Current,debt_consolidation
15000.0,15.77,D,1 year,65000.0,Fully Paid,debt_consolidation
5475.0,18.49,D,10+ years,21000.0,Fully Paid,debt_consolidation
22075.0,22.45,F,1 year,69000.0,Charged Off,debt_consolidation
20000.0,9.8,B,,88894.8,Fully Paid,credit_card
22000.0,11.48,B,6 years,117000.0,Fully Paid,credit_card
15000.0,8.49,B,< 1 year,70000.0,Fully Paid,credit_card
20000.0,13.44,C,7 years,72000.0,Fully Paid,credit_card
18000.0,9.17,B,5 years,58000.0,Current,debt_consolidation
35000.0,14.85,C,10+ years,110000.0,Charged Off,debt_consolidation
28000.0,19.48,E,3 years,91500.0,Fully Paid,debt_consolidation
6000.0,5.32,A,3 years,109000.0,Fully Paid,credit_card
5000.0,5.32,A,2 years,370000.0,Fully Paid,credit_card
15000.0,9.17,B,,40500.0,Fully Paid,debt_consolidation
4800.0,13.99,C,10+ years,64000.0,Fully Paid,small_business
15000.0,13.99,C,3 years,48100.0,Charged Off,debt_consolidation
5000.0,9.17,B,10+ years,45000.0,Fully Paid,debt_consolidation
30000.0,14.85,C,10+ years,88000.0,Current,credit_card
25000.0,17.97,D,5 years,69000.0,Charged Off,debt_consolidation
7750.0,9.8,B,10+ years,54500.0,Charged Off,debt_consolidation
21000.0,9.8,B,2 years,92700.0,Fully Paid,credit_card
28000.0,16.59,D,10+ years,91500.0,Fully Paid,debt_consolidation
28000.0,5.32,A,10+ years,97500.0,Fully Paid,debt_consolidation
25000.0,5.32,A,4 years,150000.0,Fully Paid,small_business
3500.0,9.8,B,10+ years,53700.0,Fully Paid,other
10000.0,11.99,C,1 year,90000.0,Fully Paid,debt_consolidation
25000.0,9.8,B,2 years,80000.0,Fully Paid,debt_consolidation
25300.0,11.99,C,7 years,55000.0,Fully Paid,debt_consolidation
10000.0,10.78,B,6 years,70000.0,Charged Off,debt_consolidation
35000.0,17.97,D,< 1 year,75000.0,Charged Off,debt_consolidation
18000.0,13.99,C,< 1 year,112500.0,Fully Paid,moving
6000.0,7.49,A,,30000.0,Fully Paid,car
28000.0,6.99,A,10+ years,190000.0,Fully Paid,debt_consolidation
17300.0,18.99,E,3 years,88000.0,Fully Paid,debt_consolidation
23825.0,17.97,D,10+ years,59598.0,Fully Paid,credit_card
29050.0,19.48,E,9 years,84000.0,Charged Off,other
10200.0,6.49,A,1 year,110000.0,Fully Paid,credit_card
5000.0,11.48,B,10+ years,90000.0,Fully Paid,car
32000.0,23.13,F,10+ years,300000.0,Fully Paid,debt_consolidation
9000.0,9.8,B,8 years,137000.0,Fully Paid,debt_consolidation
15000.0,18.99,E,4 years,80000.0,Current,debt_consolidation
2000.0,11.99,C,5 years,90000.0,Fully Paid,debt_consolidation
7200.0,12.88,C,10+ years,50000.0,Fully Paid,debt_consolidation
5000.0,7.49,A,3 years,25000.0,Charged Off,debt_consolidation
15550.0,17.27,D,5 years,85000.0,Fully Paid,debt_consolidation
16000.0,8.49,B,8 years,65800.0,Fully Paid,credit_card
10000.0,13.99,C,10+ years,67000.0,Charged Off,debt_consolidation
20000.0,13.44,C,3 years,93851.0,Current,debt_consolidation
16000.0,16.59,D,6 years,40000.0,Current,debt_consolidation
10000.0,7.49,A,7 years,60000.0,Fully Paid,debt_consolidation
11850.0,10.78,B,3 years,70000.0,Fully Paid,debt_consolidation
8400.0,12.88,C,10+ years,130000.0,Fully Paid,debt_consolidation
2000.0,13.44,C,10+ years,47000.0,Fully Paid,other
7200.0,15.77,D,4 years,54000.0,Fully Paid,debt_consolidation
7000.0,9.17,B,10+ years,109000.0,Fully Paid,debt_consolidation
4350.0,15.77,D,10+ years,42000.0,Fully Paid,debt_consolidation
9650.0,11.99,C,10+ years,30000.0,Fully Paid,credit_card
35000.0,22.45,F,1 year,100000.0,Fully Paid,debt_consolidation
20800.0,7.91,A,6 years,109000.0,Current,debt_consolidation
18025.0,21.48,E,4 years,41000.0,Charged Off,debt_consolidation
10000.0,17.97,D,1 year,24000.0,Charged Off,other
11000.0,9.8,B,< 1 year,28000.0,Fully Paid,debt_consolidation
20000.0,9.8,B,10+ years,250000.0,Fully Paid,debt_consolidation
7000.0,11.99,C,4 years,39500.0,Fully Paid,debt_consolidation
30000.0,9.17,B,2 years,400000.0,Fully Paid,house
28000.0,12.88,C,< 1 year,143500.0,Fully Paid,major_purchase
15000.0,13.44,C,< 1 year,31000.0,Fully Paid,credit_card
19475.0,11.48,B,1 year,106000.0,Current,credit_card
17550.0,13.99,C,,39000.0,Charged Off,debt_consolidation
8750.0,13.44,C,10+ years,25000.0,Fully Paid,credit_card
21000.0,11.99,C,6 years,52000.0,Fully Paid,debt_consolidation
16000.0,18.99,E,10+ years,90000.0,Current,debt_consolidation
16000.0,9.17,B,3 years,56000.0,Current,credit_card
12000.0,11.48,B,3 years,35000.0,Current,credit_card
6000.0,11.48,B,2 years,59500.0,Charged Off,credit_card
6700.0,7.49,A,10+ years,75000.0,Fully Paid,debt_consolidation
21000.0,15.77,D,3 years,120000.0,Fully Paid,moving
15000.0,13.44,C,5 years,60000.0,Fully Paid,credit_card
35000.0,19.48,E,10+ years,75000.0,Current,debt_consolidation
24000.0,17.97,D,10+ years,60000.0,Current,credit_card
8450.0,16.59,D,4 years,50000.0,Charged Off,credit_card
12000.0,11.48,B,10+ years,53000.0,Fully Paid,credit_card
24000.0,11.48,B,4 years,53000.0,Fully Paid,other
21000.0,7.91,A,10+ years,75000.0,Fully Paid,credit_card
10000.0,9.17,B,10+ years,81000.0,Charged Off,credit_card
15000.0,13.44,C,2 years,52000.0,Current,credit_card
15000.0,13.99,C,< 1 year,80000.0,Current,small_business
15000.0,13.99,C,4 years,68000.0,Fully Paid,debt_consolidation
35000.0,13.99,C,8 years,135000.0,Charged Off,debt_consolidation
8400.0,6.49,A,7 years,48500.0,Fully Paid,debt_consolidation
11800.0,20.5,E,3 years,45000.0,Fully Paid,debt_consolidation
24000.0,11.99,C,2 years,100000.0,Charged Off,debt_consolidation
5500.0,11.48,B,10+ years,54000.0,Charged Off,debt_consolidation
35000.0,8.49,B,10+ years,105000.0,Fully Paid,credit_card
5000.0,17.97,D,9 years,24500.0,Charged Off,debt_consolidation
17000.0,8.49,B,3 years,75000.0,Current,credit_card
24000.0,9.17,B,10+ years,145000.0,Fully Paid,debt_consolidation
15000.0,7.49,A,10+ years,72000.0,Charged Off,credit_card
35000.0,15.77,D,1 year,213100.0,Current,debt_consolidation
28000.0,9.17,B,10+ years,85000.0,Fully Paid,credit_card
10000.0,12.88,C,2 years,48500.0,Fully Paid,debt_consolidation
11000.0,8.49,B,1 year,140000.0,Fully Paid,credit_card
5000.0,9.8,B,< 1 year,60250.0,Fully Paid,debt_consolidation
10000.0,14.85,C,10+ years,45000.0,Fully Paid,debt_consolidation
12000.0,9.8,B,< 1 year,101000.0,Fully Paid,debt_consolidation
35000.0,21.48,E,10+ years,100000.0,Fully Paid,debt_consolidation
2400.0,11.48,B,10+ years,94000.0,Fully Paid,home_improvement
10000.0,8.49,B,1 year,49000.0,Charged Off,credit_card
30000.0,13.44,C,1 year,114000.0,Fully Paid,debt_consolidation
14000.0,16.59,D,3 years,50000.0,Charged Off,debt_consolidation
8000.0,11.48,B,8 years,100000.0,Fully Paid,credit_card
18000.0,6.99,A,10+ years,98000.0,Fully Paid,debt_consolidation
13500.0,10.78,B,4 years,42000.0,Fully Paid,debt_consolidation
21000.0,11.48,B,10+ years,127000.0,Charged Off,debt_consolidation
13000.0,6.49,A,10+ years,50000.0,Fully Paid,debt_consolidation
16800.0,15.77,D,10+ years,55555.0,Charged Off,debt_consolidation
5000.0,15.77,D,5 years,55000.0,Fully Paid,debt_consolidation
8000.0,9.8,B,5 years,65000.0,Charged Off,home_improvement
24800.0,15.77,D,1 year,70000.0,Charged Off,credit_card
30000.0,13.99,C,2 years,95000.0,Fully Paid,credit_card
18000.0,5.32,A,4 years,111000.0,Charged Off,moving
30000.0,7.49,A,6 years,130000.0,Fully Paid,debt_consolidation
25000.0,5.32,A,5 years,80000.0,Fully Paid,debt_consolidation
10000.0,13.44,C,5 years,80000.0,Charged Off,credit_card
24000.0,5.32,A,8 years,158000.0,Fully Paid,other
2325.0,16.59,D,10+ years,72000.0,Charged Off,debt_consolidation
15000.0,17.27,D,< 1 year,45000.0,Charged Off,debt_consolidation
4800.0,9.17,B,8 years,66000.0,Fully Paid,credit_card
8400.0,13.44,C,6 years,40000.0,Fully Paid,other
27000.0,15.77,D,10+ years,80000.0,Fully Paid,debt_consolidation
10900.0,18.49,D,2 years,39000.0,Charged Off,home_improvement
10000.0,11.48,B,< 1 year,50000.0,Fully Paid,debt_consolidation
16000.0,8.49,B,10+ years,85000.0,Fully Paid,debt_consolidation
15000.0,5.32,A,10+ years,85000.0,Fully Paid,debt_consolidation
10000.0,12.88,C,8 years,56000.0,Fully Paid,debt_consolidation
23000.0,10.78,B,< 1 year,50000.0,Fully Paid,credit_card
21125.0,17.97,D,3 years,120000.0,Charged Off,medical
20000.0,7.91,A,5 years,98000.0,Charged Off,debt_consolidation
10250.0,10.78,B,10+ years,68000.0,Fully Paid,debt_consolidation
15450.0,14.85,C,2 years,47471.06,Fully Paid,debt_consolidation
19200.0,8.49,B,1 year,168000.0,Fully Paid,credit_card
15200.0,17.97,D,10+ years,132000.0,Fully Paid,debt_consolidation
